Repository,Description
AzureCosmosDB/cosmosdb-nosql-copilot,"Build a copilot application with Azure OpenAI Service, Azure Cosmos DB & Azure App Service."
SharpLogic/LightNap,LightNap (lightweight .NET/Angular/PrimeNG) is a full stack starter kit designed to provide a boost to Single Page Applications (SPA).
TripleView/HomeKit.Net,"HomeKit's C# native SDK, which can simulate HomeKit's smart home devices"
aspirant-project/aspirant,Extensions for .NET Aspire
KevinDockx/AspNetCoreWebApiFundamentals,"Fully functioning sample code for my ASP.NET Core Web API Fundamentals course, currently targeting .NET 8."
TonyGreen9/Scene-Profiler,"The Scene Profiler Tool optimizes Unity scenes by profiling physics, audio, particles, lights, materials, meshes, and textures, identifying performance bottlenecks to enhance efficiency."
GarrettGunnell/Disney-PBR,An implementation of Disney's principled BRDF
MartinGC94/DisplayConfig,PowerShell module for configuring Windows display settings
poorna-soysa/vertical-slice-architecture-template,Vertical Slice Architecture Template for .NET 8
felipebaltazar/Maui.ServerDrivenUI,"Server Driven UI library for dotnet MAUI. New features to be deployed on all platforms simultaneously via a backend change, without releasing new versions of the native apps."
nietras/1brc.cs,1️⃣🐝🏎️ The One Billion Row Challenge -- C# Edition -- nietras
maxamin/CraxsRat-v6.7-Source-Code,"CraxsRat is a sophisticated Android remote access trojan (RAT) that grants cybercriminals extensive control over infected devices. It is developed by the malware-as-a-service operator known as ""EVLF DEV"" and has been actively used in various cyber-attacks. "
cnbluefire/ModernContextMenuManager,Windows11 Modern Context Menu Manager
Goob-Station/Goob-Station,"Wizden, but more random."
kasuganosoras/RemoteAndroid,📲 一款基于 ADB、可用于远程自动化测试 Android 应用的工具
CoolCoolTomato/MatoEditor,An open-source markdown editor based on Avalonia
idlesauce/ps4-eboot-dlc-patcher,Patches ps4 fpkgs to load dlcs from the base pkg.
AbZorbaGames/artificetoolkit,A Unity toolkit that allows easy editor customization with simple C# attributes.
wsxhm/CPF,"CPF(Cross platform UI framework) C# .Net，Develop Desktop, Embedded, Mobile"
dennisdoomen/reflectify,Simple source only reflection library with default interface property support
bar-ji/Trail3D,A 3D C# Trail Render using Immediate Mode rendering.
ThioJoe/Dynamic-Lighting-Key-Indicator,Uses windows dynamic lighting feature to set colors of toggle keys
bodong1987/UnrealSharp,A free plugin that allows you to develop with .net 8.0 and C# 12 in UnrealEngine5
nenning/DoubleClickFix,Mitigates double-click issues caused by malfunctioning mice.
JamXi233/ZenlessTools,🧰绝区零工具箱
NvC-DmN-CH/AutoVTF,AutoVTF is a C# Winforms program for working with VTF files in an intuitive and less tedious way
adammyhre/Advanced-Player-Controller,Unity Advanced Player Controller
ppy/SDL3-CS,C# bindings for SDL3 (https://github.com/libsdl-org/SDL)
vycdev/MemHack,A simple Cheat Engine clone written in C#
rahulsahay19/dot-net-core-microservices-8,Creating .Net Core Microservices using .Net 8
mehmetozkaya/EShopMicroservices-Udemy-Sections,This repository prepared for Udemy course sections that you can find all codes section-by-section on my Udemy Course
fryderykhuang/NullGC,High performance unmanaged memory allocator / collection types / LINQ provider for .NET Core
Victoare/SR-WLED-audio-server-win,SoundReactive WLED audio streamer for windows
rocketseat-education/nlw-expert-c-sharp,An auction system API
LesFerch/SwitchExplorer,Switch Explorer between the Windows 11 version and the Windows 10 version
IntptrMax/YoloSharp,Train Yolo with C#
markrussinovich/DesktopOrganizerBot,From Scott and Mark's Microsoft Build session where they create this bot to clean Scott's messy desktop. 
poorna-soysa/todo-app,"This repository hosts a simple todo application built using the latest features of .NET 8 and ASP.NET Core 8, focusing on the lightweight and streamlined development experience provided by Minimal APIs. The app utilizes an in-memory database for storing todo items, making it easy to get started without requiring external database setup."
EricHu33/URP_SSR,Screen space reflection for Unity 2022 and Unity6
m-jovanovic/minimal-endpoints,Automatically register your Minimal API endpoints in ASP.NET Core.
EvanGyori/AsciiRender,Renders parametric surfaces in a console with ascii characters
keijiro/UITK-Sample,Basic samples for Unity UI Toolkit
CharlieDigital/dn8-modular-monolith,"A practical example of how to build modular monoliths (""momo"") with .NET 8"
alexhiggins732/BLlamaSharp.ChatGpt.Blazor,BLlamaSharp.ChatGpt.Blazor is a Blazor-based LLamaSharp Chat GPT application
microsoft/Document-Knowledge-Mining-Solution-Accelerator,"Solution accelerator built on Azure OpenAI Service and Azure AI Document Intelligence to process and extract summaries, entities, and metadata from unstructured, multi-modal documents and enable searching and chatting over this data."
PacktPublishing/ASP.NET-Core-8-and-Angular,"ASP.NET Core 8 and Angular, published by Packt"
pantyneko/MeowFramework,"这是一套由QF架构进行魔改的高性能架构,提供了高度开放的扩展权限,适合喜欢自定义,追求极限轻量的开发者 架构旨在支持高度模块化和灵活的系统设计,通过实现单例模式、命令/查询处理模式、事件处理等"
sipper69/Control3,Control3 Laptop KVM (CH9329)
PacktPublishing/.NET-MAUI-Cookbook,".NET MAUI Cookbook, published by Packt"
HunterRDev/e-ReaderCardCreator,"A frontend application designed to read, compress, and decompress Nintendo's e-Reader dot code data"
keijiro/UIShaderGraphSample,Unity sample: Custom UI shader with Shader Graph
Globi-der-Hacker/Twint-API,Twint payment API
jgravelle/GroqApiLibrary,"This powerful and flexible library provides a seamless interface to interact with the cutting-edge Groq AI API. Designed for .NET 8 and above, our library offers a range of features to enhance your AI-powered applications."
chris1642/Power-BI-Backup-Impact-Analysis-Governance-Solution,"Power BI All-in-One solution for backing up Reports, Models, Dataflows and Extracting the Metadata from all to understand Impact Analysis and have Governance across all Power BI Workspaces"
kevingosse/ClipPing,Displays a visual notification in the active window when the clipboard is updated.
cuikp/AvRichTextBox,A RichTextBox control for Avalonia
Laster-dev/WeChat-Dump-Auto,微信取证---完全自动化的基地址查找，密钥抓取，打压缩上传
lvyww/bime,bime，外挂式形码输入平台
TiraelSedai/ClubDoorman,Telegram anti-spam bot
SunnyDesignor/WpfGorgeousThemeSwitch, WPF 华丽的白天/黑夜主题切换开关
bananabr/CLRInjector,A PoC .NET-specific process injection tool
adammyhre/Unity-Audio-Pooling,Unity Audio Source Pooling
DominicLiang/RpgUdemyCourse,The Ultimate Guide to Creating an RPG Game in Unity 教程学习项目
Ming-jiayou/SimpleRAG,A simple RAG and Function Calling demo based on WPF and Semantic Kernel.
trojannemo/Nautilus,"Tool suite to create, edit and work with Rock Band files"
UnicordDev/UniSky,"A BlueSky client for Windows 11, Windows 10 and Windows 10 Mobile"
karelkalata/InvoiceDesigner,"With InvoiceDesigner, customizing your invoice print form is super easy. You can add, move around, and tweak elements in the layout, all without touching any code. Want to include extra info or some custom fields? No problem!"
matahino/drawing,"drawing """" C# """" Tool """" Windowsforms"
WinDurango/WinDurango.UI,"GUI for WinDurango, which is planned to allow for easy installing/patching among other random stuff I decide lmfao"
kandreyc/unity-csharp-patch,The goal of this project is to unlock latest C# features in Unity
SySS-Research/MAT,"This tool, programmed in C#, allows for the fast discovery and exploitation of vulnerabilities in MSSQL servers"
thisisnabi/Search,Search as a service in ASP.NET Core and Elasticsearch
keijiro/URP-AlphaBypass,Alpha preserving feature for Unity URP
huntandhackett/PassiveAggression,Source code and examples for PassiveAggression
LesFerch/RightClickTools,Add a Set of Powerful Tools to the Windows Explorer Context Menu
maxamin/AD-Mastertools-collection,This is an AD pentest tools collection
davidfowl/AspireSwaggerUI,An aspire resource for showing swagger ui
phi16/ImKeyframeReduction,Keyframe Reduction for Unity AnimationClip
wy19910222/Unity-Tools,本仓库用于存放一些自创的小工具、对Unity的实用扩展、对第三方插件的扩展等。支持使用Unity Package Manager安装。
GameDevBuddies/Death-Stranding-Terrain-Scan,Repository containing files for the Death Stranding Terrain Scan YouTube video.
keijiro/KinoEightURP,8-bit style postprocessing effect for Unity URP
convalise/unity-material-symbols,This project simplifies the usage of Google's Material Symbols (Icons) on Unity.
ZY4N/Unity-2D-Radiance-Cascade-Demo,Demo 2D implementation of radiance cascade global illumination in Unity.
bromeex/TheBereftSouls,Repository for the ultramodded modpack
AnnulusGames/NavStack,Asynchronous screen transition/navigation for Unity.
KaganAyten/RestaurantGame3DUnity,Simple Hamburger making game like Overcooked in Unity3D
patriksvensson/fantasma,"Fantasma is a minimalistic, opinionated job scheduler library for ASP.NET Core, with a MediatR-like API."
felipebaltazar/Maui.TutorialCoachMark,Create a beautiful and easy tutorial for your .net maui application.
LessIsMoreInSZ/JccModbus,A modbus pooled register communication library
vicperdana/AspireShopWithSemanticKernel,🤖 🔋 Power up your Shopping Cart Application with AI powered by .NET Aspire and Semantic Kernel
Oganoth/Framework-Control-center,Hub for Framework Laptops 16 & 13 
yowipr/Manual,An advanced ComfyUI frontend
J-Tech-Japan/ResultBoxes,An opinionated C# Results Library that focus on Railway Oriented Programming.
BetaWRLD/BetaManager,"Yes, BetaManager. "
hanachiru/RapidEnum,Enum utility with SourceGenerator for C#/.NET
Azure-Samples/gen-ai-bot-in-a-box,This template deploys a Generative AI Virtual Assistant using Azure OpenAI and Bot Framework.
csharpfritz/BigBadBlog,"The Big Bad Blog is a tutorial that demonstrates how to take a simple blog website with articles in markdown on disk, and make it into a large CMS"
BruceQiu1996/EasyTcp4Net,A high-performance TCP communication package developed by .NET that supports multiple unpacket strategies
IBM5100o/HDT_BGrank,A Hearthstone battlegrounds plugin help you to search opponents' MMR.
YukiIsait/MonitorBrightnessAdjuster,A utility application designed to help you control the brightness of your monitors. 一款控制显示器屏幕亮度的实用工具。
killerbigpoint/cs2-anticheat,A work-in-progress anticheat for Counter-Strike 2
adammyhre/Unity-Utility-AI,Utility AI System for Unity
stoneharry/RCEPatcher,In the 3.3.5a WoW client there is a Remote Code Exploit (RCE) that allows any private server owner to inject and run arbitrary code on your computer. This patcher will modify your WoW executable file to fix the exploit.
PN-Tester/AppxPotato,AppX RPC Local Privilege Escalation - Windows 10/11 
lifangjie/HDRPVirtualTexture,Implementing Adaptive Virtual Texture in HDRP
newtouch-cloud/openhis,OpenHIS医院系统是一款适用于公立二级以下医院、乡镇卫生院、社区卫生服务中心的综合性医院信息管理系统，包含体检、后台管理、收费结算、医护协同、药房、电子病历等10大功能模块，支持门诊、住院、医技、后勤各项核心业务。 源码支持本地化/私有化部署，支持第三方电子病历，支持二次开发及医保/卫健对接。
PinchToDebug/DragWin,Lets you drag windows with right-click without using any modifier keys
he55/SonomaWallpaper,Windows 11 4k 240 帧动态屏保壁纸
ScaffoldLibrary/Schemas,Component-like structures for your ScriptableObjects!
adammyhre/Unity-Octrees,Octrees in Unity
reqnroll/Reqnroll.Rider,Rider plugin for Reqnroll - open-source .NET BDD framework
ameyer505/D365FOAdminToolkit,A D365FO administrative toolkit created by and for the community
kwsch/ItemPrinterDeGacha,Calculation tool for Scarlet/Violet's Item Printer
unishiki/Unity-UGUI-Effect,"使用Unity中的UGUI+ShaderLab+C#，配合DoTween插件实现的各种动效 Various effects achieved using UGUI+ShaderLab+C# in Unity, combined with the DoTween plugin."
Semperis/SilverSamlForger,Silver SAML forgery tool
ruitunion-org/feedback-bot,A free and open-source Telegram Bot that allows you to anonymously chat with multiple users in one Telegram Chat.
aleenzz/ChromeExtensionInstall,Silently Install Chrome Extension For Persistence
ninjamode/Unity-VR-Gaussian-Splatting,VR-capable version of Gaussian Splatting for Unity
lostkagamine/SdvHardcoreMode,A mod for Stardew Valley that deletes your save if you open the wiki
microsoft/micronaire,A RAG evaluation pipeline for Semantic Kernel
adammyhre/Unity-Behaviour-Trees,Unity Behaviour Trees and Blackboard
LessIsMoreInSZ/bilibiliDemo,Some Demo In BiliBili
adammikulis/MindGame,Mind Game is a C# plugin for Godot 4.3 to run LLMs locally in games
aws/integrations-on-dotnet-aspire-for-aws,This repositry contains the integrations with .NET Aspire for AWS.
mokth/einvoice,e-invoices sample files
patchzyy/WheelWizard,"WheelWizard, Retro Rewind Launcher"
schwarper/cs2-store,A store plugin
alelievr/HDRP-Mobile,Unlock HDRP to build on mobile devices
davidfowl/AzGitConnect,A tool that automates connecting GitHub to Azure
tannergooding/RyuJitSharp,A port of the dotnet/runtime RyuJIT compiler to C#
Muhammed-Nabih/M-N-Store-E-commerce-,"E-Commerce using ( ANGULAR & .NET ) , Developed by Clean Architecture principles ( 3 Layers ) ,  Integrated with Stripe payment gateway to securely process online payments. Using Redis to improve performance by caching frequently accessed data (ex : Basket)."
LSXPrime/Hermes,"Hermes is a robust e-commerce platform built with .NET 8, offering comprehensive product, order, and user management. Key features include product creation & management with variants, order tracking and status updates, user registration & authentication, and inventory control. It leverages a layered architecture for clean code and testability."
jrhodnik/NameGate,A simple C# DNS blocker
whuanle/Maomi.MQ,"Maomi.MQ.RabbitMQ is a communication model designed specifically for RabbitMQ publishers and consumers. It significantly simplifies the code for publishing and messaging, while providing a series of convenient and practical features."
lilxyzw/lilycalInventory,Modify avatar at build time.
ZernovTechno/AR,Unity project - my AR app for android phone. Includes hand tracking and stereo vision. 
delta-incubator/delta-dotnet,DeltaLake bindings for dotnet based on delta-rs
xifangczy/URLProtocol,注册URL Protocol
stardew-valley-dedicated-server/server,A Linux Docker image to run a headless dedicated multiplayer server for Stardew Valley.
sql-bi/Contoso-Data-Generator-V2,Custom Contoso database generator V2
microsoft/Agents-for-net,This repository is for active development of the Microsoft 365 Agent SDK components for .NET
stevensrmiller/AvaloniaWithoutXAML,Sample Avalonia C# programs that do not use any XAML.
SaberZG/SimilarTextureCheckToolPublic,一个用于检测项目内相似图片，并提供替换/删除的工具
XuToWei/StateController,参考FairyGui实现的UGui（通用）控制器
he55/EmojiViewer,fluentui-emoji 表情查看器
thisisnabi/Catalog,A Catalog Service by ASP.NET Core
noio/games.noio.input-hints,Ties together the Input and Localization system to give you live Input Hints!
jupahe64/Avalonia.UpDock,A simple yet effective Docking library for Avalonia Desktop
hanicraft/JackTheHacker,a open source bruteforce tool with config support
CyberAgentGameEntertainment/BuildMagic,An utility to manage multiple build schemes such as development and release for Unity.
Scthe/ai-iris-avatar,"Talk with AI-powered detailed 3D avatar. Use LLM, TTS, Unity, and lip sync to bring the character to life."
HuiTeab/EFT-DMA-Radar-Only-Code,EFT-DMA-Radar-Only-Code
TheD0ubleC/MusicalMoments,基于.NET的实时音频播放与及时切换使用麦克风解决方案
gonultasmf/MyFinance,.NET MAUI example app (using FmgLib.MauiMarkup)
matahino/PDFToul,PDF C#
gamedevserj/UI-System-Godot,UI system for Godot engine
devlooped/dotnet-trx,Pretty-print test results from trx files
H-Ghamarzadeh/HGO.ASPNetCore.FileManager,Free & Open Source File Manager for ASP.Net Core 6+ with MIT License
Leo4j/PPLKiller,Tool to bypass LSA Protection (aka Protected Process Light)
SaberZG/VertexProfilerTool,一个Unity中可用的顶点密度debug工具，部分调试类型可导出密度信息
lvyww/paindutch,pain打器
dotnet9/CodeWF.EventBus,事件总线(EventBus)是一种解耦模块间通讯的强大工具。在CodeWF.EventBus库中，我们得以轻松实现CQRS模式，并通过清晰、简洁的接口进行事件订阅与发布。
Seconb/Aimmy-Arduino-Edition,Aimmy... but with Arduino support!
Rafaeruo/pkl-csharp,PKL lang bindings for C#
andrewmd5/glyphion,an experimental 2D/3D game engine for the terminal 
Singtaa/Spark2D,"Spark2D is an open-source 2D visual effects library for Unity, aiming to provide comprehensive image processing operations, SDF functionalities, and a 2D particle system. (Currently WIP)"
NibbleByte/UnityWiseGit,Simple but powerful git integration for Unity 3D
SanYue-TechArt/RTXGI-DDGI-URP,RTXGI-DDGI Implementation with Unity (2022.3.17f1c1-URP14.0.9)
qrp73/K5TOOL,UV-K5 toolkit utility to read/write EEPROM and flashing firmware for Quansheng UV-K5 and UV-R5 radios
PinchToDebug/Pihole-Tray,A tray application for Pi-hole
vercidium-patreon/streaming,Multithreaded OpenGL texture streaming demo
brondavies/TrayToolbar,Provides a replacement for the custom toolbar functionality that was removed in Windows 11
Azure-Samples/azure-sql-db-chat-sk,Using Azure SQL and Semantic Kernel to chat with your own data using a mix of NL2SQL and RAG 
Frognar/Expense-Explorer," Expense Explorer simplifies receipt storage and offers detailed spending reports, making it an essential tool for tracking and managing your finances effortlessly."
chiugame/udon-task,This package enables the execution of Udon from a separate thread.
JadHajjar/RoadBuilder-CSII,A mod for Cities: Skylines II to create endless road combinations on the fly while you’re playing the game!
davidortinau/AllTheLists,Collection of UX samples for lists
MarkoDM/GodotInGameBuildingSystem,This project is a comprehensive starter kit designed for creating building simulation games(or just games with building mechanic) in Godot 4.
lybeat/RecyclerView,UGUI列表解决方案
xmosnewone/ICEPOS-Cashier-System,"国内为数不多的全代码开源收银软件,开源协议遵循 Apache2.0,运行架构是C/S，PC端使用C#语言，管理后台使用PHP语言(Thinkphp框架),移动端使用VUE前端框架。多门店管理，离线使用，门店收银，员工登录交接，会员系统接口，会员折扣，微信/支付宝/银行卡/现金支付，库存检测，促销方案，支持扫码枪，小票打印，钱箱控制等。适用于多种商店收银场景，移动端可适配智能手机或自助收银机设备。"
BinaryAlley/DatasetTag,Helper utility for Machine Learning dataset images caption preparation
naveasy/Naveasy,A decent free navigation system for .NET MAUI apps.
Magnno/unity-2d-vfx,A collection of visual effects for 2D Unity projects.
sannlynnhtun-coding/DotNetTrainingBatch4,"This repository contains materials, code samples, and project files for the .NET Training Batch 4 program. It is designed to provide a comprehensive learning experience for participants, covering key aspects of .NET development. If you find these programs helpful, please consider giving the repository a star ⭐!"
thisisnabi/Map,Map as a service | ASP.NET Core 9
IT-HaoGe/Windows-Update-Delayer,ITHaoGe Windows Update Delayer for Win11/10，IT豪哥电脑更新暂停器，快速暂停 Windows11/10 系统更新
Sumrix/ConsolePlot,ConsolePlot is a .NET library for creating customizable line charts in the console.
nthlink/nthlink-os-windows,nthLink client for Windows
MrScautHD/Bliss,"A fast, Cross-platform .NET 9 C# 13 Render Framework. "
jojonas/SharpSAMDump,SAM Dumping in C#
529324416/MissionSystem,开放世界可拓展性任务系统
nietras/Llm.cs,C# port of @karpathy https://github.com/karpathy/llm.c
Muhammed-Nabih/University-Management-System,University-Management-System in Asp.net Core using Clean Architecture and CQRS Design Pattern
cecarlsen/dk.cec.plot,An immediate mode (IM) procedural 2D drawing package for Unity
wojciechp6/YOLOv8Unity,YOLOv8 for Unity - object detection and instance segmentation using Barracuda
ZloyKorovanovich/Oceana-URP,Oceana water for Unity URP
hrpzcf/ImageCvt,监视目录并自动把目录里新增或被重命名为目标格式的图像转换为指定格式
huynhtandat223/entity-mimimal-api,EF Core + OData + Mimimal API
sociallydistantgame/sociallydistant,Up-coming narrative-driven hacking game for Steam
alexandrelozano/BlazorTUI,Blazor Server Text User Interface Library
mrarashiyan/Fake-Interior-Shader,This is a shader for creating fake interior for buildings and outdoor environments in Unity game engine
InCerryGit/SatelliteRpc,基于Kestrel编写一个使用自定义协议的Rpc框架的演示，不可用于生产
Sehyn/Wuwa_fpsunlocker,Unlocking Wuwa FPS Limits for PC version.
ohmcodes/WindowsGSM.Enshrouded,🧩WindowsGSM plugin that provides Enshrouded Dedicated server
stanuwu/PG3DInjector,Injector for Pixel Gun Cheat Internal
jborean93/LocalKdc,Info on how to use Kerberos KDC on a non-domain joined host
wy19910222/Unity-Memo,本仓库用来备忘一些Unity相关的技术，包括API、算法、实现效果、某些问题的解决方案等。
ThermiteFe8/Custom-Gravity-Physics-Unity,"An Open Source Unity project that supports custom gravity fields that can point in ANY direction and manipulate the player in many ways! Includes spheres, parallel fields, and splline fields, along with QOL stuff such as drop shadows that point in the direction of gravity, transparencies, and camera triggers"
cbwang505/TcpServerChannelRce,一款基于James Forshaw的.NET Remoting反序列化工具升级版在TypeFilterLevel.Low模式无文件payload任意代码执行poc的开发心得
shapediver/GrasshopperPluginTemplate,Best-practice template for a Grasshopper and Rhino plugin using a shared library and tests
practical-otel/dotnet-xunit-otel,An xUnit test framework that wraps tests in a trace to provide better visualisation of the test flows
luckyBricks/UnrealSpecifierPlus,UnrealSpecifier中文文档插件，适用于Rider与ReSharper    |    UnrealSpecifier doc integration for Rider/ReSharper
Sehyn/wuwa_modloader,Wuthering Waves Mod Loader
Dutchskull/Aspire.PolyRepo,"This library for DotNet Aspire enables poly repo support and the addition of Git repositories to your Aspire projects. It simplifies multi-repository management and streamlines dependency handling, making it easier to work with multiple repositories in a Aspire project."
YusufOzmen01/desktopmate-custom-avatar-loader,Custom Avatar Loader Mod for DesktopMate!
Youssef-Afella/UnityURP-InfiniteGrass,Fully Procedural and Dynamic Grass for Unity URP
MatrixRex/Uber-Stylized-Water,An highly customizable stylized water shader for Unity 6
hamsteryuan/UnityButtonLevels,这是一个开源的unity的多层按钮交互界面的完善模版。一层按钮可以触发不同的二层按钮，后续相应。一共提供了四层按钮的模版。相应事件接口例子提供。This is a complete template for the open source unity multi-layer button interface. Layer 1 buttons can trigger different layer 2 buttons. A total of four layers of button templates are provided. Corresponding event interface examples are provided.
davidfowl/feedbackflow,A collection of command line tools for getting feedback from various sources in a machine readable format
keijiro/KlutterTools,Miscellaneous editor tools for Unity
Achuan-2/SlideSCI,"PPT plugin, supports one-click to add image titles, copy and paste positions, one-click image alignment, and one-click to insert Markdown (including bold, hyperlinks, and other inline styles, as well as code blocks, LaTeX, and other block-level styles)! PPT插件，支持一键添加图片标题，复制粘贴位置、一键图片对齐、一键插入Markdown（加粗、超链接等行内样式、代码块、LaTeX等块级样式）！"
zvrba/QuineFlows,"C# libraries for secure file copying, watching folders and defining DAG workflows"
liyingsong99/FolderTag,Unity Editor Plugin
DemonKingSwarn/hyprwatch,app usage logger for hyprland
AnhPham/Simple-Screen-Manager-for-Unity-aka-SS,A simple and flexible Unity library for managing and navigating screens with high performance and reusability.
dennisdoomen/dotnet-package-templates,"""dotnet new"" templates for building NuGet-published (content-only) multi-targeting libraries with all the bells and whistles"
Nenkai/ACEvo.Package,KSPackage (kspkg) archive tool for Assetto Corsa EVO.
estevao-alves/Instally,Instally is a GUI interface for WinGet designed to simplify the application installation process.
amoerie/fluentassertions-migrator,Migrates FluentAssertions to standard xunit assertions
vycdev/MineDirt,Minecraft clone in MonoGame
KingJiongEN/CivilServer,"Unity Module: Designed to build the spatiotemporal structure for the frontend of autonomous worlds, enabling agents to evolve from transactional systems into real-time spatiotemporal category games."
kevingosse/SimpleCpuProfiler,Proof-of-concept of a simple CPU profiler written in C#
rasulhsn/Database-Archiver,Simple tool for transfering/Archiving data between databases.
TanerSaydam/2025-clean-architecture-setup,2025 yılında kullanabileceğimiz Clean Architecture Setup
AnnulusGames/TypeScriptImporter,TypeScript Importer for Unity
platinum-dev/csharp-features,Новые фичи. Каждый ноябрь :)
hkrn/ndmf-vrm-exporter,NDMF Plugin to export the avatar as VRM 1.0 model.
OlivierGuillaume/ProceduralGeometry,A C# mesh manipulation library for Unity
DinoChiesa/dotnetzip-2025,Updated DotNetZip that builds with current .NET Core
aniketrajnish/PixelPerfectShadowCaster2D-Unity,Pixel Perfect Shadow Caster (2D) for Unity
Xyzstk/DesktopMateAssetDecryptor,A small program for decrypting/encrypting the asset bundles of Desktop Mate. Could be used to extract resources or import custom models.
DevSplash/FreePointsShop,ArchiSteamFarm plugin to automatically redeem free items in the Steam points shop.
AnnulusGames/Barrage,Simple and robust Entity Component System for .NET and Unity.
chickensoft-games/GameTools,A collection of tools for accelerating Godot + C# game development.
luisllamasbinaburo/DeepSeek-NET,A modern .NET (C#) wrapper for the DeepSeek AI API
kant2002/NativeAssertions,"The assertion library, backward compatible to FluentAssertions"
YXHXianYu/Refraction,"Made by ""熙熙攘攘、我们的Jam"". For 2025 Global Game Jam"
K4ryuu/K4-Zenith,Zenith is a modular collection of mostly used plugins with rich feature list. It's kind of a Swiss Army knife.
Webreaper/SolisAgileManager,Solis Inverter Manager for Octopus Agile Tariffs
jinglikeblue/UnityIconSwitcher,Unity项目实现的iOS和Android平台下，应用图标切换功能的插件
diamondo25/rsvp-server,Mushroom Game 2 thingy
07JP27/DurableMultiAgentTemplate,"This repository is a template project for implementing the Orchestrator-Workers pattern introduced in Anthropic's blog ""Building effective agents"" using Azure Durable Functions."
zetaloop/windows-11-context-menu-manager,管理 Win11 新右键菜单的小工具汉化版 Chinese Localized Fork
davidortinau/BalanceBiometric,A .NET MAUI sample app implementing biometric login
SilverMoonDev/DesktopMate-Clothes-Toggler-Mod,A Simple Mod To Toggle The Clothes/Meshes on your Avatar With A Save Feature
renatogroffe/OpenTelemetry-Grafana_DEVPIRA-2025,Conteúdos sobre OpenTelemetry + Grafana de apresentação realizada em 06/01/2025 para membros da comunidade DEVPIRA.
BryantCrisos/softPin,An addon that assigns pins for Godot's SoftBody3D using Vertex Paint
DanielThyselius/Syne24Lin,Allt kursmaterial som rör kod mm.
xiaomi7732/PrettyLogging,A opinionated library that makes .NET logging clean to read 👏
Chelovedus/Coding-Time-Tracker-For-Steam,"Have you ever wanted to track your coding time and show it off on Steam? This app automatically records your time in IDEs like Visual Studio Code, JetBrains, and more, displaying it on your Steam profile!"
graynk/LoreleiAndSaneControls,A small mod to change control scheme in Lorelei and the Laser Eyes
btcpayserver/btcpayserver-monero-plugin,This plugin extends BTCPay Server to enable users to receive payments via Monero.
Hiro420/FetchHotfixCS,"Same old FetchHotfix repo, but in C#"
jarno9981/ProxmoxDesktopApp,Modern PromoxDesktop App
DevChronos/Tracker,Custom plugin for PoE GameHelper
smaicas/CdCSharp.NjBlazor,🚀 Blazor Component Library. Enjoy.
Infisical/infisical-dotnet-configuration,Official Infisical .NET IConfigurationProvider.
xiangyongjun/GreenHat,绿帽子保护您的电脑安全
Coding-in-community/DungeonRoyale,"um jogo 2D top-down estilo Bomberman com uma abordagem Battle Royale dentro de uma dungeon repleta de armadilhas, monstros, e itens especiais!"
SaberArtoriaFan/UnityEditorWindowDIY,此代码提供了一些DIYunity编辑器窗口的封装，以便开发者可以自行DIYUnity编辑器界面。
InvoxiPlayGames/SteamNetfilterProxy,"""decrypting"" proxy for the pre-December 2015 Steam ""netfilter"" protocol"
Rainbowdashx1/YoloV11-PersonDetect,YOLOPerson is a technical project developed in C# .NET Core 8 that utilizes YOLOv11 for detecting people in videos
LizkaRyan/IAR,Image assistent Referee
accntech/shad-ui,Avalonia-based UI Library inspired by shadcn and Suki UI Library
DamianEdwards/OpenSubtitleDownloader,A scrappy C# utility for downloading TV show subtitle files from opensubtitles.com
dafuqi/DofusAIHelper,"Source for the client DofusAIHelper , a window app that draw a popup overlay Dofus"
Miku-UI-Plugins/Miku-UI-Audio-Receiver,Miku UI Audio Receiver for Windows & Linux
Valjean15/MarvelRivalsModManager,Marvel Rival - Mod Manager
Rist8/MiSide-Variants-Scroller,"Mod adding scrollbar to cloth variants in game's ""Clothes"" tab"
aivision365/AICode,AI parses and generates code with a small assistant that works with any code editor without the need for other tools
H4x0rModdz/RedShark.Api,"Red-Shark is the most secure and innovative open-source social media platform in Brazil, designed to help aspiring developers work on a large-scale project, gain real-world experience, and advance their careers—no job required!"
rafaelx0liveira/DotNetStarter,O DotNetStarter é uma ferramenta CLI projetada para ajudar desenvolvedores a iniciarem rapidamente projetos .NET com arquiteturas modernas e boas práticas de desenvolvimento.
Ahmed-brahim/Academy_Project,ASP .NET MVC Project
arslanaybars/etherscan.dotnet.client,.NET client library for interacting with the EtherScan API
Yellow-Dog-Man/Spz.NET,Native C# implementation of Niantic Labs' SPZ format.
adamsih300u/Kokoro-API,"An API wrapper, dockerized, for Kokoro TTS"
GeordieTomo/dream-gen,Dream Gen Source
nitrog0d/ValorantUnpacker,A tool to dump VALORANT at runtime and bypass the encryption/packing on the binary.
GlebRazgar/COIN,Inquiry into the Chain of Interpretability
DevChronos/Atlas,Custom plugin for PoE GameHelper
IAmParadox27/jellyfin-plugin-home-sections,Add server provided home sections to your Jellyfin instance
KallDrexx/DotnetEbpf,(wip) Write Linux eBPF applications in .net
DanielMcAssey/baiters-server,WebFishing Server with support for custom plugins
