Repository,Description
roubachof/Xamarin.Forms.Nuke,famous ios nuke native image caching library xamarinforms
nicolasdeory/firelight,modular game integration razer chroma rgb led devices league legends rocket league fortnite many
Append-IT/Blazor.Notifications,html5 notifications api implementation microsoft blazor
Natsukage/Fishers-Intuition,fourteen
PacktPublishing/ASP.NET-Core-5-and-React-Second-Edition,aspnet core five react second edition published packt
woxieao/-1s,keeps loudspeaker box always power
moaistory/WinSearchDBAnalyzer,
dreamfairy/Unity_ECS_GPUSkinning,ecs boost gpuskinning
matterpreter/SHAPESHIFTER,companion poc adventures dynamic evasion blog post
py7hagoras/CovenantTasks,source tasks used covenant
stefffdev/NubeSync,build fast robust offline data sync app
t4guw/100-Unity-Mechanics-for-Programmers,building unity mechanics structured set challenges one hundred sample programs program demonstrates different mechanic
pauldotknopf/twitter-dump,dump data twitters public api
KnightYyj/QuartzCore.Blazor,quartzcoreblazorantdesignblazorfreesql
Deblokt/IdentityServer4Demos.NETCore31,repository contains demo projects identityserver4 learn create projects use zero productionready stepbystep tutorials client app examples
jbaarssen/PdfLibCore,pdflib core fast pdf editing reading library modern net core applications
yasirkula/UnityTextToTextMeshProUpgradeTool,upgrade text inputfield dropdown textmesh objects textmesh pro variants unity
FrankenApps/Avalonia-CustomTitleBarTemplate,shows create custom titlebars
Barbelot/Chimera,2d fluid simulation unity
Uahh/ToastFish,
bflattened/bflat,csharp know goinspired tooling small selfcontained native executables
fullstackhero/blazor-starter-kit,clean architecture template blazor webassembly built mudblazor components
RoundedTB/RoundedTB,add margins rounded corners segments taskbars
34736384/genshin-fps-unlock,unlocks sixty fps cap
cube0x0/CVE-2021-1675,csharp impacket implementation printnightmare cve20211675cve202134527
91270/MeiamSubtitles,emby server jellyfin server
XINCGer/UnityToolchainsTrick,unityeditorprovides common tips examples developing unityeditor toolchain
GhostPack/Certify,active directory certificate abuse
coofcookie/Windows11Upgrade,windows eleven upgrade tool bypasses microsoft requirements
Cysharp/MessagePipe,high performance inmemorydistributed messaging pipeline net unity
SebLague/Chess-Coding-Adventure,workinprogress chess bot written csharp
ErsatzTV/ErsatzTV,stream custom live channels using media
FirstGearGames/FishNet,fishnet unity networking evolved
cube0x0/noPac,cve202142287cve202142278 scanner exploiter
wangfreexx/wangfreexx-tianruoocr-cl-paddle,ocrchineselitepaddleocr
nesrak1/UABEA,csharp uabe newer versions unity
BnuuySolutions/OculusKiller,completely kill oculus dash autolaunch steamvr
recyclarr/recyclarr,automatically sync trash guides sonarr radarr instances
Valkirie/HandheldCompanion,controllerservice
chvancooten/OSEP-Code-Snippets,repository notable code snippets offensive securitys pen300 osep course
he55/DreamScene2,windows
med0x2e/SigFlip,sigflip tool patching authenticode signed pe files exe dll sys etc without invalidating breaking existing signature
sdcb/PaddleSharp,netcsharp binding baidu paddle inference library paddleocr
libxzr/FastbootEnhance,userfriendly fastboot toolbox payload dumper windows
HyPlayer/HyPlayer,netease cloud music player
brunomikoski/Animation-Sequencer,visual tool allows create animated sequences tweens tweak editor time
cuiliang/ClickShow,
andrewlock/NetEscapades.EnumGenerators,source generator generating fast reflection methods enums
tom-englert/RegionToShare,helper app share part screen via video conference apps
dgreenheck/OpenFracture,open source mesh slicingfracturing utility unity
CodeMazeBlog/CodeMazeGuides,main repository code maze guides
CCob/BeaconEye,hunts cobaltstrike beacons logs operator command output
markjprice/cs10dotnet6,repository packt publishing book titled csharp ten net six modern crossplatform development mark j price
NebulaModTeam/nebula,multiplayer mod game dyson sphere program
eladshamir/Whisker,whisker csharp tool taking active directory user computer accounts manipulating msdskeycredentiallink attribute effectively adding shadow credentials target account
slushiegoose/Town-Of-Us,among us mod containing bunch roles
bats3c/ADCSPwn,tool escalate privileges active directory network coercing authenticate machine accounts relaying certificate service
SpecterOps/SharpHound,csharp data collector bloodhound
HaveIBeenPwned/PwnedPasswordsAzureFunction,apis kanonymity pwned passwords implementation
dcsoft-yyf/JIEJIE.NET,open source tool obfuscation net assembly file help protect copyright smallfast powerfu
patriksvensson/cupboard,framework provisioning local environments desired state using net sdk
engindemirog/KampFinalProject,yazlm gelistirici yetistirme kamp buyuk proje
zcgonvh/EfsPotato,exploit efspotatomsefsr efsrpcopenfileraw seimpersonateprivilege local privalege escalation vulnerability
Group3r/Group3r,find vulnerabilities ad group policy better grouper2
punk-security/smbeagle,smbeagle fileshare auditing tool
mai1zhi2/SharpBeacon,cobaltstrike beacon written net four netstagerbeaconsyscalletw
skahwah/SQLRecon,csharp ms sql toolkit designed offensive reconnaissance postexploitation
revenz/FileFlows,fileflows file processing application execute actions file tree flow structure
DamianEdwards/MinimalApiPlayground,place trying new aspnet core minimal apis features
raoyutian/PaddleOCRSharp,paddleocrsharppaddleocrcppnetocr 86mocr
dotnet/dotnet-monitor,repository contains source code net monitor tool allows gather diagnostic data running applications using http endpoints
GhostPack/ForgeCert,golden certificates
RCStep/CSSG,cobalt strike shellcode generator
darktohka/FlashPatch,flashpatch play adobe flash player games browser january 12th two thousand twentyone
wixtoolset/wix,wix toolset code
reaqtive/reaqtor,reaqtor framework reliable stateful distributed scalable event processing based rx
Cysharp/ObservableCollections,high performance observable collections synchronized views wpf blazor unity
K8sAcademy/Fundamentals-HandsOn,files docker kubernetes fundamentals handson labs
juliourena/SharpNoPSExec,get file less command execution lateral movement
binarythistle/S04E03---.NET-Microservices-Course-,code introduction net microservices
keijiro/MetavidoVFX,ar vfx samples bibcam burntin barcode metadata camera
Mayyhem/SharpSCCM,csharp utility interacting sccm
JamesCooteUK/SharpSphere,net project attacking vcenter
fullstackhero/blazor-wasm-boilerplate,clean architecture boilerplate template net sixty blazor webassembly built fsh webapi goodness mudblazor components
soulsmods/DSMapStudio,standalone maplevel editor demons souls dark souls one hundred twentythree bloodborne sekiro elden ring
0x727/SchTask_0x727,bypass av
keijiro/KinoAqua,watercolor effect unity urphdrp
SteveSandersonMS/BlazeOrbital,sample application blazor webassembly net six
keijiro/HandPoseBarracuda,hand finger tracking solution mediapipe hands unity barracuda
engindemirog/KampIntro,yazlm gelistirici yetistirme kamp kodlar
AlifeLine/Emby.Plugins.Douban,emby
aarthificial/reanimation,alternative animator unity tailored traditional animation
Gonkee/Gepe3D,gonkees epic physics engine 3d gepe3d
keijiro/Metavido,metadata embedding video subformat
HenJigg/my-todoapp,2022wpf
mixandjam/Splatoon-Ink,recreating ink system splatoon
Redth/ZXing.Net.Maui,barcode scanning maui
keijiro/FaceMeshBarracuda,lightweight facial capture package unity
3lp4tr0n/BeaconHunter,detect respond cobalt strike beacons using etw
AudioBand/AudioBand,display control songs windows taskbar
TheWover/CertStealer,net tool exporting importing certificates without touching disk
Ormicron/Sharp-dumpkey,csharp
snltty/p2p-tunnel,net7 socket nat transferudptcp punch holetcp forwardudp forward proxysocks5 proxynetworking
Fewes/MinimalAtmosphere,minimal atmospheric scattering implementation unity
LogicReinc/LogicReinc.BlendFarm,standalone blender network renderer
Unity-Technologies/com.unity.services.samples.use-cases,collection samples repo use unity gaming services unity project demonstrate live gaming operations
b2developer/MonopolyNEAT,neat implemented monopoly knockout tournament scheme
Alex4SSB/ADB-Explorer,fluent ui adb windows
plackyhacker/Shellcode-Injection-Techniques,collection csharp shellcode injection techniques techniques use aes encrypted meterpreter payload building project learn discover develop techniques techniques better others bypassing av
ForzaMods/Forza-Mods-AIO,free opensource fh4 fh5 mod tool
Layui-WPF-Team/Layui-WPF,wpflayuiui
NightfallGT/Mercurial-Grabber,grab discord tokens chrome passwords cookies
nettitude/RunPE,csharp reflective loader unmanaged binaries
xiaoyaocz/AllLive,
S3cur3Th1sSh1t/SharpImpersonation,user impersonation tool via token shellcode injection
keijiro/ComputeMarchingCubes,unity gpuoptimized marching cubes isosurface reconstruction
ThePornDatabase/Jellyfin.Plugin.ThePornDB,jellyfinemby metadata provider
0auBSQ/OpenTaiko,improved personalized version tjaplayer3developrewrite tja chart player axed entertainment creativity
AvaloniaUI/Avalonia.Markup.Declarative,provides helpers declarative ui csharp
DapperLib/DapperAOT,build time tools flavor dapper
microsoft/VSExtensibility,repo upcoming changes extensibility visual studio new extensibility model language server protocol
AM2R-Community-Developers/AM2RLauncher,host respository am2rlauncher
kierstone/Buff-In-TopDownShooter,best game skill system framework
DDWSdwqdq/VNREX,galocrtts
wlgys8/GPUDrivenTerrainLearn,unity project used learning gpu driven terrain render
VollRagm/KernelBypassSharp,csharp kernel mode driver read write memory protected processes
aarthificial/pixelgraphics,collection pixel art visual effects
DamianEdwards/MiniValidation,minimalist validation library net built atop existing features systemcomponentmodeldataannotations namespace
DuendeSoftware/BFF,framework aspnet core secure spas using backendforfrontend bff pattern
wlgys8/URPLearn,project used learning unity universal render pipeline
spectreconsole/errata,library makes easy create display diagnostics different kinds
eumario/godot-manager,project version addonsplugins manager godot game engine
LingFeng-bbben/MajdataView,nextgeneration simai note designer maimai unity viewer part majdata
koenbeuk/EntityFrameworkCore.Projectables,project properties functions linq queries
taecg/ShaderReference,unityshader
xivapi/SaintCoinach,net library written csharp extracting game assets reading game assets final fantasy xiv realm reborn
netero1010/ScheduleRunner,csharp tool flexibility customize scheduled task persistence lateral movement red team operation
gulceselim/re-cap-project-with-csharp,araba kiralama sistemi kodlamaio recap project
Matthew-J-Spencer/Formations,simple scripts create formations unity
RedSiege/EDD,enumerate domain data
tukasa0001/TownOfHost,host mod among us
arcusmaximus/VNTranslationTools,tools translating visual novels
Lauriethefish/QuestPatcher,generic il2cpp modding tool oculus quest one hundred twentythree apps
ColorfulSoft/DeOldify.NET,csharp implementation jason antics deoldify
patrickgod/BlazorEcommerce,code online course make ecommerce website blazor webassembly net six udemy
IlanKalendarov/SharpHook,sharphook offensive api hooking tool designed catch various credentials within api call
DamianEdwards/MinimalApis.Extensions,set extensions helpers working aspnet core minimal apis
mixandjam/Batman-Arkham-Combat,recreating combat system batman arkham series
nothke/unity-utils,set single script utils used throughout projects
evilashz/SharpADUserIP,dcip
S3cur3Th1sSh1t/SharpNamedPipePTH,pass hash named pipe token impersonation
Cysharp/NativeMemoryArray,utilized nativememory backed array net unity 2gb limitation support modern apiibufferwriter readonlysequence scattergather io etc
Sanheiii/Mageki,
Daniel-Krzyczkowski/Cars-Island-On-Azure,cars island fake car rental company used microsoft azure cloud services implement system managing car renting
gasgiant/Markup-Attributes,unity editor extension customizing inspector layout attributes
allartprotocol/unity-solana-wallet,first opensource unitysolana wallet nft support
wlgys8/SRPLearn,unity
Octal450/J-Runner-with-Extras,source code jrunner extras executable requires proper support files package found readme
iomoath/PowerShx,run powershell without software restrictions
mgeeky/SharpWebServer,red team oriented csharp simple http webdav server netntlm hashes capture functionality
cube0x0/MiniDump,csharp lsass parser
Maoni0/realmon,monitoring tool tells gcs happen process characteristics gcs
xpnas/inotify,barkserverdocker
aniqfakhrul/Sharperner,simple executable generator encrypted shellcode
dawn-lc/ArchivePasswordTestTool,7zip
DapperLib/Dapper.Contrib,dapper community contributions additional extensions dapper
windfgg/kingfeng,fork
Cyanilux/ShaderGraphVariables,adds register variable get variable nodes shader graph allowing link sections graph without connection wires three
A-D-Team/SharpMemshell,memshell
GarrettGunnell/Grass,exploration various grass rendering techniques
laomms/KmsTool,kms local activation
KevinDockx/AspNetCore6WebAPIFundamentals,fully functioning sample code aspnet core six web api fundamentals course
neozhu/CleanArchitectureCodeGenerator,generate application features code class conforms cqrs design pattern application project visual studionet two thousand twentytwo extensions plugin
NotHunter101/ExtraRolesAmongUs,bepinex mod among us adds four new roles game mod played innersloth servers
Wafflus/unity-dialogue-system,basic node based dialogue system made unity
fgilde/MudBlazor.Extensions,mudblazorextensions small extension mudblazor
rasta-mouse/AmsiScanBufferBypass,bypass amsi patching amsiscanbuffer
Yinmany/NetCode-FPS,fps
FakeByte/EpicOnlineTransport,transport mirror using epic online services
plackyhacker/Suspended-Thread-Injection,another meterpreter injection technique using csharp attempts bypass defender
FromDarkHell/BL3SaveEditor,desktop based save profile editor borderlands three
shiftwinting/FastGithub,githubdnsgithubip
victor-iyif/ferventdeserte,visualized crawler etl ide written csharpwpf
Redth/Maui.VirtualListView,slim listview implementation net maui uses platform virtualized lists collections
teddysmithdev/pokemon-review-api,review rate favorite pokemon net core web api
Deweh/CyberCAT-SimpleGUI,simplified offshoot sirbitesalots cybercat
trevoirwilliams/HR.LeaveManagement.CleanArchitecture-dotnet5,educational project demonstrate mediatr cqrs onionclean architecture aspnet core
Flangvik/SharpProxyLogon,csharp poc cve202126855 aka proxylogon supports classically semiinteractive web well shellcode injection
JimmyCushnie/FancyTextRendering,render markdown clickable links textmeshpro unity
Cratesmith/Cratesmith.AssetUI,popout inspector scriptableobject aware default object drawer unity3d
marcussacana/DirectPackageInstaller,send direct pkg urls ps4
oculus-samples/Unity-SharedSpaces,oculus multiplayer showcase demonstrating basic multiplayer functionality unity including oculus social apis oculus platform authentication photon realtime photon voice oculus spatializer oculus sdk supporting material subject oculus proprietary license
keijiro/VfxGraphAssets,unity vfx graph custom asset library
Mr-Un1k0d3r/ADHuntTool,official repo adhunttool part old redteamcsharpscripts repo
DanielKote/Foreman2,visual planning tool factorio
An0nySec/ShadowUser,
MudBlazor/ThemeManager,thememanager built showcase mudblazor theming
connormcgarr/LittleCorporal,littlecorporal csharp automated maldoc generator
nezaboodka/nevod,nevod language technology patternbased text search
17MKH/Mkh,net 6vue3
erikbra/grate,grate sql scripts migration runner
SebLague/Ant-Simulation,
Oliveriver/5d-diplomacy-with-multiverse-time-travel,5d diplomacy multiverse time travel
djdd87/SynoAI,synology surveillance station notification system utilising deepstack ai
chr0n1k/AH2021Workshop,malware development red teaming workshop
sinscove/Yuzu-Updater,totally legal legit updater yuzu early access
Flangvik/AzureC2Relay,azurec2relay azure function validates relays cobalt strike beacon traffic verifying incoming requests based cobalt strike malleable c2 profile
PrismLibrary/Prism.Maui,experimental repo code eventually merged main prism repo full fledged platform time repo archived
chutianshu1981/AwesomeUnityTutorial,select official highquality tutorials introductory learning content choose best learning route make learning process smooth silk strive easiest learn comprehensive game development tutorial
Dliv3/DomainBorrowing,domain borrowing poc
keijiro/OneEuroFilter,one filter unity implementation
UnityTechnologies/GalacticKittens,get started making multiplayer games netcode gameobjects
keijiro/Waifu2xBarracuda,waifu2x unity barracuda implementation
keijiro/SelfieBarracuda,mediapipe selfie segmentation model unity barracuda
malyawka/URP-ScreenSpaceCavity,blender cavity effect unity
Blondazz/KeyOverlay,simple key overlay osu streaming
Matthew-J-Spencer/Trajectory-Line-Unity,powerful trajectory line unity
GhostPack/RestrictedAdmin,remotely enables restricted admin mode
luxonis/depthai-unity,depthai unity library unity projects examples oak unity
keijiro/TinyYOLOv2Barracuda,tiny yolov2 unity barracuda
arklumpus/TreeViewer,crossplatform software draw phylogenetic trees
zombieyang/puerts_unity_webgl_demo,unitytypescriptweb
keijiro/jp.keijiro.apriltag,apriltag tracker unity
datalust/dotnet6-serilog-example,sample project showing serilog configured default net six web application template
pol-rivero/DiscordAudioStream,windows utility streaming audio discord easily share audio entire screen even use obs streaming
keijiro/BodyPixSentis,bodypix unity sentis
dotnet/reproducible-builds,contains dotnetreproduciblebuilds package
hai-vr/av3-animator-as-code,generate animator layers animations fluent builder syntax initially designed use vrchat generic package require
dnSpyRevived/dnSpy,net debugger assembly editor
microsoft/hidtools,human interface device hid tools windows devices
caryyu/jellyfin-plugin-opendouban,douban metadata provider jellyfin
gindemit/unity-rlottie,unity library plays lottie animation texture2d
TryCatchLearn/Skinet-v6,course repository skinet app created net fifty angular eleven
iammukeshm/PermissionManagement.MVC,let us implement permissionbased authorization aspnet core
VollRagm/KernelSharp,csharp kernel mode driver example using nativeaot
Flangvik/DeployPrinterNightmare,csharp tool installing shared network printer abusing printernightmare bug allow network machines easy privesc
digitaltwinconsortium/ManufacturingOntologies,reference solution leveraging manufacturing ontologies
madskristensen/MarkdownEditor2022,visual studio extension
SebLague/Cloth-and-IK-Test,simple 2d cloth simulation test fabrik inverse kinematics test
Aeroluna/Heck,modhcart
straw-git/WPFManager,wpf
PacktPublishing/Game-Development-Patterns-with-Unity-2021-Second-Edition,game development patterns unity two thousand twentyone second edition published packt
zzjfengqing/ET-EUI,etui
StefH/FluentBuilder,project uses source generation create fluentbuilder specified model dto
Filigrani/SkyCoop,multiplayer long dark game
juanmjacobs/il2cpp-modder,generate dll injection templates modding il2cpp games
pornin/paradox-compress,paper demo implementation paradoxical compression vdf
keijiro/UltraFaceBarracuda,ultralightfastgenericfacedetector1mb face detector unity barracuda
isaacOjeda/MinimalApiArchitecture,net eight minimal api vertical slice architecture
TessFerrandez/BuggyBits,debugging labs net windbg
cornflourblue/dotnet-6-jwt-authentication-api,net sixty jwt authentication api
Martenfur/TabletFriend,toolbar builder windows tablets
SingletonSean/reservoom,simple hotel reservation system demonstrating wpf mvvm fundamentals
RowTeam/SharpNTLMSSPExtract,ntlmssp windows
pixiv/Mux,
emilianavt/VSeeFaceSDK,vseeface sdk unity used export models vsfavatar format
kkokosa/dotnet-counters-ui,multiplatform ui tool observing net counters written maintained awesome contributors dotnetos community
cabarius/ToyBox,toy box cute playful mod five hundred cheats tweaks quality life improvements pathfinder wotr created spirit bag tricks cheat menu little different focus powerful convenient way edit party composition stats search add feats features items etc party members
PowerBI-tips/TabularEditor-Scripts,scripts tabular editor two three community driven make tabular editor experience fast possible
JusterZhu/Fast-learning-WPF,wpf
soonsoon2/SPUM,soonsoon pixel unit maker free version
An0nySec/UserAdd,bypass av
TakeshiCho/UI_RenderPipelineInLinearSpace,unity ui render pipeline linear color space
Vek17/TabletopTweaks-Base,tabletop tweaks mod seeks adjust crpg rules closely follow tabletop ruleset additionally adds content missing base game
G0ldenGunSec/SharpTransactedLoad,load net assemblies memory appear loaded ondisk location
PettterWang/pdz-assistant,pdzpdfpdz pdf
Zekh/OnlyfansSearcher,open source onlyfans leak scraper
CodeMazeBlog/onion-architecture-aspnetcore,repo contains source code onion architecture aspnet core article code maze
Haruma-K/URPGrabPass,replacement grabpass unitys universal render pipeline urp
Ottermandias/Glamourer,change outside appearance actors using penumbra
xpn/NautilusProject,collection weird ways execute unmanaged code net
Another-Axiom/GorillaLocomotion,locomotion system used gorilla tag
densen2014/BlazorMaui,c razor blazorbbmaui windows winformswpfuwpandroidiosmacos
Kevin-Robertson/Sharpmad,csharp version powermad
mat1jaczyyy/Keyboard-Inspector,record analyze input data captured keyboards joysticksgamepads mice
Doddler/RagnarokRebuildTcp,ragnaroklike server client
Struggleton/Delfinovin,xinput solution gamecube controllers
MouseUnSnag/MouseUnSnag,windows system multiple monitors allow mouse move freely get stuck corners edges
Derek-R-S/Light-Reflective-Mirror,relay transport mirror
SkiTles55/SPT-AKI-Profile-Editor,sptaki
Wra7h/SingleDose,generate shellcode loaders injects
DeadlyKitten/MonkeModManager,mod installer pc version gorilla tag
conficient/BlazorTemplater,library generates html eg emails razor components
ProjectMile/Mile.Xaml,lightweight xaml islands toolchain windows eleven controls styles
manups4e/ScaleformUI,scaleformui gta menu styled api made custom scaleforms lighter faster visually better
Adjerry91/VRCFaceTracking-Templates,vrc face tracking templates
net2cn/Real-ESRGAN_GUI,realesrganbased super resolution model inference gui written csharp
rasta-mouse/DInvoke,dynamically invoke arbitrary unmanaged code managed code without pinvoke
ChoiSG/UuidShellcodeExec,poc uuid shellcode execution using dinvoke
icyguider/DumpNParse,combination lsass dumper lsass parser credit goes slyd0g cube0x0
ProjectStarlight/StarlightRiver,starlight river mod
klezVirus/SharpSelfDelete,csharp implementation research jonaslyk drafted poc lloydlabs
Xing-Fax/WPF-Music_Player,
TekkaGB/Unverum,downloads install mods several unreal engine four games
Grinchiest/SantaRat,remote access trojan use santas laptop
nohwnd/Profiler,script scriptblock module performance profiler powershell five powershell seven
stepanbenes/api-for-nopcommerce,api plugin nopcommerce four hundred fifty
lishewen/Blazor.ECharts,blazorecharts
scottyboy805/dotnow-interpreter,pure csharp cil interpreter designed load execute managed code il2cpp unity platforms
ReubenBond/hanbaobao-web,orleans sample application kubernetes hosting
latortuga71/TortugaToolKit,collection tools great open source tools packaged powershell module
passiony/kcp-unity,kcptcpwebsocket framework unity
X-C3LL/xlsxPoison,poc turn xlsx regular excel files xlsm excel file macro slipping inside macro vbaprojectbin
Varneon/WorldCreatorAssistant,unity editor extension automating vrchat world project package management
deanward81/AirDropAnywhere,implementation airdrop allows webenabled device sendreceive files tofrom airdropcompatible device
needle-tools/selective-profiling,selectively deep profile single methods game running unitys profiler
BarleyFlour/RespecMod,respec mod pathfinder wrath righteous
mobdk/CopyCat,simple rapper mimikatz bypass defender
rvrsh3ll/SharpSMBSpray,spray hash via smb check local administrator access
brandonmousseau/vhvr-mod,adds vr support pc game valheim
ubisoft/NGitLab,net client gitlab rest api
nuttylmao/NOOBS-CMDR,tool create macros obs
PacktPublishing/Unity-2021-Shaders-and-Effects-Cookbook-Fourth-Edition,unity two thousand twentyone shaders effects cookbook fourth edition published packt
CascadianVR/Unity-Mesh-Transfer-Utility,unity editor utility transfer skinned mesh renderers one armature another
wh0am15533/Patched-Unity-Mono,patched unity mono builds use dnspy
ugurkryl41/CarRentalProject,recapproject
adyanth/QuickLook.Plugin.FolderViewer,folder viewer plugin quicklook
UnknownX7/NoClippy,xivlauncher plugin
Milk-Drinker01/Milk_Instancer01,unity indirect gpu instancing painting occlusion culling frustum culling lods
daniel-ilett/portals-urp,recreation portals demo universal render pipeline
microsoft/CopyOnWrite,net library encapsulates os filesystem differences ability create copyonwrite file links
unity3d-jp/Unity-ROS-MobileRobot-UI-Tutorial,unity ros
marcteys/eyecam,repository contains main files eyecam
mehmetozkaya/AspnetMicroservices,aspnetmicroservices
tiuub/KeeOtp2,keeotp2 plugin keepass provides form display one time passwords fully compatible builtin otp function
reunono/FeelExtensions,communitydriven collection extension scripts feel moremountains
aahmad097/BadOutlook,kind malicious outlook reader
PizzaLovers007/AdofaiTweaks,helpful tweaks dance fire ice
LiEnby/FlashPatcher,net program remove timebomb adobe flash player
SolidAlloy/ExtEvents,better replacement unityevents
Doraku/Ecs.CSharp.Benchmark,benchmarks csharp ecs frameworks
microsoft/studentambassadors,repository microsoft learn student ambassadors
SDClowen/RSBot,silkroad online open source bot
Cyenoch/Coolapk-UWP,coolapk uwp edition
Valheim-Modding/Jotunn,jotunn valheim library
xarray/UnityOSGB,load osgb format unity two ways native plugin csharp binary reader
FuzzySecurity/Dendrobate,managed code hooking template
ethanedits/Universal-Unity-ESP,guide creating esp unity game
S3cur3Th1sSh1t/SyscallAmsiScanBufferBypass,amsiscanbufferbypass using dinvoke
nnaaa-vr/XSOverlay-VRChat-Parser,log parser vrchat integrates xsoverlay notification api deliver notifications vr
doki-theme/doki-theme-visualstudio,cute anime character themes visual studio
isJuhn/KAMI,kot mouse injector
dantmnf/WSLAttachSwitch,attach wsl2 virtual machine hyperv virtual switch
SolidAlloy/GenericScriptableArchitecture,scriptableobject architecture small easytoexpand codebase simple ui
NVIDIAGameWorks/UnityPhysXPlugin,experimental unity package enable access nvidia physx sdk four within unity
CTFAK/CTFAK2.0,updated version clickteam fusion army knife decompiler
BetterWorld-Liuser/XiaoChao,windows
spacechase0/StardewValleyMods,new home stardew valley mod source code
terjew/VSKeyExtractor,small tool extract license key used activate local installation visual studio
msawczyn/EFDesigner2022,entity framework visual design surface codefirst code generation ef6 core beyond
Straw1997/UnityURPCloud,unity urp raymarching
Flangvik/RosFuscator,youtubelivestream project obfuscating csharp source code using roslyn
drnxloc/AutoLDPlayer,auto adb ldplayer
richard-fine/scriptable-object-demo,demo project two thousand sixteen unite talk overthrowing monobehaviour tyranny peoples glorious scriptableobject revolution
keijiro/NoiseBall6,unity sample project direct mesh data access compute shaders
DerekPascarella/UniversalDreamcastPatcher,utility patching dreamcast disc images
JocysCom/FocusLogger,find process program taking window focus ingame controls could temporary stop responding program steals focus
Flangvik/SharpExfiltrate,modular csharp framework exfiltrate loot secure trusted channels
RJCodeAdvance/RJControls,modern flat elegant custom controls windows forms csharp visual basicnet custon controls library created training purposes tutorial videos download source code repository modify way
keijiro/IrisBarracuda,mediapipe iris landmark model unity barracuda
razexgod/44CALIBER,passwordcookies stealer sending logs discord channel
komietty/unity-convexhull,realtime convexhull generator
tinyantstudio/SimpleTimeLineWindow,ready make simple unitys timeline style extension tools
James-LG/AutoCursorLock,locks cursor specified windows focus good games properly lock cursor
needle-tools/hybrid-packages,export upm packages unitypackage files
YDHCUI/csload.net,cobaltstrike shellcode
dimatrubca/book-exchange-app,aspnet core web api react entity framework elasticsearch paypal integration
dotnetlowcode/HiSql,hisql orm orm
maxkoshevoi/DateOnlyTimeOnly.AspNet,adds support receiving returning dateonlytimeonly iso eight thousand  six hundred one string aspnet core api
GeorgeAdamon/monocular-depth-unity,depth monocular image using midas v2 library unitys barracuda inference framework
654306663/QuadTreeMap,
iwiniwin/unity-remote-file-explorer,unity editorremote file explorer
fEndman/WarFactory,app
keijiro/FaceLandmarkBarracuda,mediapipe face landmark detection model unity barracuda
microsoft/SizeBench,sizebench binary size investigation tool windows
OG-Sadpanda/SharpSword,read contents ms word documents using cobalt strikes executeassembly
ddsurvivor/CardGameTutorial,2d card game tutorial unity game engine
nothke/dx-highlighter,deus exsystem shock inspired pulsing bounds item highlighter unity
yangzhongke/Zack.AnyDBConfigProvider,configurationprovider loading configuration database including limited sqlserver mysql oracle etc
jfmaes/SharpNukeEventLog,nuke event log using epic dinvoke fu
bohops/RogueAssemblyHunter,rogue assembly hunter utility discovering interesting net clr modules running processes
Sanae6/SmoOnlineServer,official server super mario odyssey online
zhanggaolei001/JdLoginTool,jdck
shalzuth/WindowSharingHider,hides windows screen sharing works teams zoom discord etc
shalzuth/UnrealSharp,esp radar tools unreal engine ue games
CnGal/CnGalWebSite,cngalgalgameaverage
hawkeye-stan/msfs-popout-panel-manager,pop panel manager msfs two thousand twenty
PunishXIV/YesAlready,clicks yes various dialogues specified
haolange/InfinityFoliage,treegrass system unity urp
lchaumartin/HumanoidProceduralAnimation,fully procedural approach humanoid animation
WhiteBlackGoose/AsmToDelegate,compile asm code csharp functions fly
lesliexinxin/LeslieXin.SimpleMMF,simple easytouse framework interprocess communication based shared memory
genki-tx/UnitySimpleCleanArchitecture,example project learn simple clean architecture
iammukeshm/BlazorChat,building complete chat application blazor webassembly fifty signalr identity ui taken care mudblazor component library
keijiro/YoloV4TinyBarracuda,yolov4tiny unity barracuda
p3nt4/RunDLL.Net,execute net assemblies using rundll32exe
keijiro/DepthAITestbed,visual effects depthai oakdlite stereo depth
devmentors/NPay,simple virtual payments app built modular monolith reference project youtube minicourse
vsandrade/ProEventos,para atualizacao curso de seja fullstack com angular e net five
TerhoAntila/planner-gantt-chart,planner gantt chart implementation power apps canvas app
cdmvision/unity-figma-importer,unity figma importer turns figma design unity ui elements bind codes layout files create unity apps ease
plackyhacker/Sys-Calls,example using syscalls csharp get meterpreter
ShironekoBen/superrt,realtime raytracing extension chip snes
mattatz/PointCloudExplorer,pointcloudexplorer experimental project using point cloud data unity
toolgood/ToolGood.TextFilter,toolgood
GaryMcWhorter/Verlet-Chain-Unity,chainrope simulation unity using verlet integration
Dliv3/SharpGPO,red team tool remotely manipulating group policy objectgpo organizational unitou gplink security filtering
jaredpar/basic-reference-assemblies,produce nupkg files net reference assemblies resources
purpl3f0xsecur1ty/useful_random_stuff,things cool uses
akintos/UnrealLocres,ue4 localization resource file tool
opensearch-project/opensearch-net,opensearch net client
wqaetly/SkillEditorBasedOnSlate,paradoxnotion slate
BuIlDaLiBlE/BetterHI3Launcher,much better honkai impact 3rd launcher
jborean93/PSOpenAD,crossplatform powershell module alternative microsofts active directory module
plackyhacker/Peruns-Fart,peruns fart slavic gods luck another method unhooking av edr csharp version
Cheyenne1025/QQChannelFramework,mybot qqcsharp
engindemirog/TemplateBackend,template backend projects
